file,raw_rows,clean_rows,duration_sec,temp_col_count,temp_minus200_count,temp_invalid_ratio,approx_bad_temp_channels,row_keep_ratio,duplicate_time_rows_removed,time_min,time_max,error,status
30.csv,677.0,677.0,677.0,160.0,8124.0,0.075,12.0,1.0,0.0,0.0,676.0,,usable
31.csv,915.0,915.0,915.0,160.0,10980.0,0.075,12.0,1.0,0.0,0.0,914.0,,usable
32.csv,,,,,,,,,,,,子进程异常退出，exitcode=-11,failed
33.csv,,,,,,,,,,,,子进程异常退出，exitcode=-11,failed
34.csv,,,,,,,,,,,,子进程异常退出，exitcode=-11,failed
35.csv,811.0,811.0,811.0,160.0,9732.0,0.075,12.0,1.0,0.0,0.0,810.0,,usable
36.csv,975.0,975.0,975.0,160.0,11700.0,0.075,12.0,1.0,0.0,0.0,974.0,,usable
37.csv,1356.0,1356.0,1356.0,160.0,16272.0,0.075,12.0,1.0,0.0,0.0,1355.0,,usable
38.csv,1729.0,1729.0,1729.0,160.0,20748.0,0.075,12.0,1.0,0.0,0.0,1728.0,,usable
39.csv,1256.0,1256.0,1256.0,160.0,15072.0,0.075,12.0,1.0,0.0,0.0,1255.0,,usable
4.csv,363.0,363.0,363.0,160.0,4356.0,0.075,12.0,1.0,0.0,0.0,362.0,,usable
40.csv,981.0,981.0,981.0,160.0,11772.0,0.075,12.0,1.0,0.0,0.0,980.0,,usable
41.csv,1053.0,1053.0,1053.0,160.0,12636.0,0.075,12.0,1.0,0.0,0.0,1052.0,,usable
42.csv,1021.0,1021.0,1021.0,160.0,12252.0,0.075,12.0,1.0,0.0,0.0,1020.0,,usable
43.csv,708.0,708.0,708.0,160.0,8496.0,0.075,12.0,1.0,0.0,0.0,707.0,,usable
44.csv,878.0,878.0,878.0,160.0,10536.0,0.075,12.0,1.0,0.0,0.0,877.0,,usable
45.csv,1028.0,619.0,619.0,160.0,7428.0,0.045160505836575875,12.0,0.6021400778210116,0.0,0.0,618.0,,usable
46.csv,1343.0,1343.0,1343.0,160.0,16116.0,0.075,12.0,1.0,0.0,0.0,1342.0,,usable
47.csv,1394.0,1394.0,1394.0,160.0,16728.0,0.075,12.0,1.0,0.0,0.0,1393.0,,usable
48.csv,1056.0,1056.0,1056.0,160.0,12672.0,0.075,12.0,1.0,0.0,0.0,1055.0,,usable
49.csv,1089.0,1089.0,1089.0,160.0,13068.0,0.075,12.0,1.0,0.0,0.0,1088.0,,usable
5.csv,259.0,259.0,259.0,160.0,3108.0,0.075,12.0,1.0,0.0,0.0,258.0,,usable
50.csv,1081.0,1081.0,1081.0,160.0,12972.0,0.075,12.0,1.0,0.0,0.0,1080.0,,usable
51.csv,1028.0,848.0,848.0,160.0,10176.0,0.061867704280155644,12.0,0.8249027237354085,0.0,0.0,847.0,,usable
52.csv,1034.0,1034.0,1034.0,160.0,12408.0,0.075,12.0,1.0,0.0,0.0,1033.0,,usable
53.csv,1136.0,1136.0,1136.0,160.0,13632.0,0.075,12.0,1.0,0.0,0.0,1135.0,,usable
54.csv,1220.0,1220.0,1220.0,160.0,14640.0,0.075,12.0,1.0,0.0,0.0,1219.0,,usable
55.csv,752.0,752.0,752.0,160.0,12032.0,0.1,16.0,1.0,0.0,0.0,751.0,,usable
56.csv,,,,,,,,,,,,子进程异常退出，exitcode=-11,failed
57.csv,723.0,723.0,723.0,160.0,11568.0,0.1,16.0,1.0,0.0,0.0,722.0,,usable
58.csv,,,,,,,,,,,,子进程异常退出，exitcode=-11,failed
59.csv,2015.0,2015.0,2015.0,160.0,8060.0,0.025,4.0,1.0,0.0,0.0,2014.0,,usable
6.csv,236.0,236.0,236.0,160.0,2832.0,0.075,12.0,1.0,0.0,0.0,235.0,,usable
60.csv,908.0,908.0,908.0,160.0,10896.0,0.075,12.0,1.0,0.0,0.0,907.0,,usable
61.csv,929.0,929.0,929.0,160.0,11148.0,0.075,12.0,1.0,0.0,0.0,928.0,,usable
62.csv,1028.0,1028.0,1028.0,160.0,12336.0,0.075,12.0,1.0,0.0,0.0,1027.0,,usable
63.csv,950.0,950.0,950.0,160.0,11400.0,0.075,12.0,1.0,0.0,0.0,949.0,,usable
7.csv,352.0,352.0,352.0,160.0,4224.0,0.075,12.0,1.0,0.0,0.0,351.0,,usable
8.csv,183.0,183.0,183.0,160.0,2196.0,0.075,12.0,1.0,0.0,0.0,182.0,,usable
9.csv,210.0,210.0,210.0,160.0,2520.0,0.075,12.0,1.0,0.0,0.0,209.0,,usable
