时间,烟气层,CO,透光,1D,0.5D,辐射3,1.5D,1-1,1-2,1-3,1-4,1-5,1-6,1-7,1-8,1-9,1-10,1-11,1-12,1-13,1-14,1-15,1-16,1-17,1-18,1-19,1-20,1-21,1-22,1-23,1-24,1-25,1-26,1-27,1-28,1-29,1-30,1-31,1-32,1-33,1-34,1-35,1-36,1-37,1-38,1-39,1-40,2-1,2-2,2-3,2-4,2-5,2-6,2-7,2-8,2-9,2-10,2-11,2-12,2-13,2-14,2-15,2-16,2-17,2-18,2-19,2-20,2-21,2-22,2-23,2-24,2-25,2-26,2-27,2-28,2-29,2-30,2-31,2-32,2-33,2-34,2-35,2-36,2-37,2-38,2-39,2-40,3-1,3-2,3-3,3-4,3-5,3-6,3-7,3-8,3-9,3-10,3-11,3-12,3-13,3-14,3-15,3-16,3-17,3-18,3-19,3-20,3-21,3-22,3-23,3-24,3-25,3-26,3-27,3-28,3-29,3-30,3-31,3-32,3-33,3-34,3-35,3-36,3-37,3-38,3-39,3-40,4-1,4-2,4-3,4-4,4-5,4-6,4-7,4-8,4-9,4-10,4-11,4-12,4-13,4-14,4-15,4-16,4-17,4-18,4-19,4-20,4-21,4-22,4-23,4-24,4-25,4-26,4-27,4-28,4-29,4-30,4-31,4-32,4-33,4-34,4-35,4-36,4-37,4-38,4-39,4-40,layer1_mean,layer2_mean,layer3_mean,layer4_mean
0.0,,659.0,0.0132,0.457,0.708,-0.025,0.338,74.0,73.0,72.0,70.0,76.0,78.0,79.0,74.0,79.0,78.0,75.0,74.0,74.0,75.0,75.0,74.0,69.0,69.0,70.0,69.0,67.0,68.0,68.0,67.0,65.0,65.0,65.0,63.0,,,68.0,67.0,66.0,66.0,,,73.0,75.0,71.0,70.0,70.0,69.0,67.0,67.0,75.0,74.0,72.0,73.0,71.0,70.0,69.0,69.0,72.0,72.0,70.0,72.0,70.0,69.0,68.0,68.0,71.0,72.0,71.0,72.0,70.0,69.0,67.0,67.0,69.0,70.0,68.0,69.0,69.0,69.0,67.0,68.0,68.0,68.0,66.0,67.0,69.0,69.0,67.0,67.0,69.0,70.0,67.0,68.0,68.0,68.0,66.0,66.0,69.0,69.0,66.0,67.0,66.0,66.0,65.0,64.0,68.0,68.0,66.0,66.0,65.0,64.0,64.0,64.0,67.0,66.0,65.0,64.0,63.0,63.0,63.0,64.0,65.0,64.0,62.0,63.0,63.0,62.0,63.0,63.0,64.0,65.0,63.0,62.0,60.0,60.0,61.0,61.0,62.0,62.0,60.0,60.0,57.0,56.0,58.0,57.0,60.0,61.0,58.0,58.0,53.0,51.0,52.0,53.0,55.0,55.0,54.0,53.0,,,,,,,,,71.13888888888889,69.6,66.0,58.8125
1.0,,659.0,0.0138,0.444,0.714,-0.025,0.351,73.0,72.0,72.0,70.0,76.0,78.0,79.0,74.0,79.0,77.0,75.0,73.0,73.0,74.0,75.0,74.0,69.0,69.0,70.0,69.0,67.0,68.0,67.0,67.0,65.0,65.0,65.0,63.0,,,68.0,67.0,66.0,66.0,,,73.0,75.0,71.0,70.0,70.0,69.0,67.0,67.0,74.0,74.0,72.0,72.0,71.0,70.0,69.0,69.0,71.0,71.0,70.0,72.0,70.0,69.0,68.0,68.0,71.0,71.0,71.0,72.0,70.0,69.0,67.0,67.0,69.0,70.0,68.0,69.0,69.0,68.0,67.0,68.0,68.0,68.0,65.0,67.0,69.0,68.0,67.0,67.0,69.0,70.0,67.0,68.0,68.0,67.0,66.0,66.0,68.0,69.0,66.0,67.0,66.0,66.0,65.0,64.0,68.0,68.0,65.0,66.0,65.0,64.0,64.0,64.0,66.0,66.0,65.0,64.0,63.0,63.0,63.0,64.0,65.0,64.0,62.0,62.0,63.0,62.0,62.0,63.0,64.0,65.0,62.0,62.0,60.0,60.0,61.0,61.0,62.0,62.0,60.0,60.0,56.0,56.0,58.0,57.0,60.0,61.0,58.0,58.0,53.0,51.0,52.0,53.0,55.0,55.0,54.0,53.0,,,,,,,,,70.94444444444444,69.425,65.85,58.71875
2.0,,659.0,0.0131,0.414,0.696,-0.025,0.385,73.0,72.0,71.0,70.0,75.0,78.0,78.0,74.0,79.0,77.0,75.0,73.0,73.0,74.0,75.0,74.0,68.0,69.0,70.0,69.0,66.0,68.0,67.0,67.0,65.0,65.0,65.0,63.0,,,68.0,67.0,66.0,65.0,,,72.0,75.0,71.0,69.0,70.0,69.0,67.0,67.0,74.0,74.0,72.0,72.0,71.0,70.0,68.0,69.0,71.0,71.0,70.0,72.0,70.0,69.0,67.0,68.0,70.0,71.0,71.0,72.0,70.0,69.0,67.0,67.0,69.0,70.0,68.0,69.0,69.0,68.0,67.0,68.0,67.0,68.0,65.0,67.0,69.0,68.0,67.0,67.0,69.0,70.0,66.0,68.0,68.0,67.0,66.0,66.0,68.0,69.0,66.0,66.0,66.0,66.0,65.0,64.0,68.0,68.0,65.0,66.0,65.0,64.0,64.0,64.0,66.0,65.0,65.0,64.0,62.0,63.0,63.0,64.0,65.0,64.0,62.0,62.0,63.0,62.0,62.0,63.0,64.0,65.0,62.0,62.0,60.0,59.0,61.0,61.0,62.0,62.0,60.0,60.0,56.0,56.0,58.0,57.0,59.0,61.0,58.0,58.0,53.0,51.0,52.0,53.0,55.0,55.0,54.0,53.0,,,,,,,,,70.72222222222223,69.325,65.75,58.65625
3.0,,659.0,0.0184,0.419,0.832,-0.025,0.365,73.0,72.0,71.0,70.0,75.0,77.0,78.0,73.0,78.0,77.0,74.0,73.0,73.0,74.0,74.0,74.0,68.0,69.0,70.0,69.0,66.0,68.0,67.0,67.0,65.0,65.0,65.0,63.0,,,68.0,67.0,66.0,65.0,,,72.0,74.0,71.0,69.0,70.0,69.0,67.0,67.0,74.0,74.0,72.0,72.0,70.0,70.0,68.0,69.0,71.0,71.0,70.0,71.0,70.0,69.0,67.0,68.0,70.0,71.0,70.0,71.0,69.0,68.0,67.0,67.0,69.0,69.0,67.0,69.0,69.0,68.0,67.0,67.0,67.0,68.0,65.0,67.0,68.0,68.0,67.0,67.0,69.0,70.0,66.0,68.0,68.0,67.0,65.0,66.0,68.0,69.0,66.0,66.0,66.0,66.0,65.0,64.0,68.0,67.0,65.0,65.0,64.0,64.0,64.0,64.0,66.0,65.0,65.0,64.0,62.0,63.0,63.0,64.0,65.0,64.0,62.0,62.0,62.0,62.0,62.0,62.0,63.0,64.0,62.0,62.0,59.0,59.0,61.0,61.0,62.0,62.0,60.0,59.0,56.0,56.0,58.0,57.0,59.0,61.0,57.0,57.0,53.0,51.0,52.0,53.0,54.0,55.0,53.0,53.0,,,,,,,,,70.55555555555556,69.1,65.625,58.34375
4.0,,659.0,0.0229,0.355,0.725,-0.025,0.371,73.0,72.0,71.0,69.0,75.0,77.0,78.0,73.0,78.0,77.0,74.0,73.0,73.0,74.0,74.0,73.0,68.0,69.0,69.0,69.0,66.0,68.0,67.0,67.0,65.0,65.0,65.0,63.0,,,68.0,67.0,65.0,65.0,,,72.0,74.0,70.0,69.0,69.0,68.0,67.0,67.0,74.0,74.0,72.0,72.0,70.0,70.0,68.0,68.0,71.0,71.0,70.0,71.0,69.0,69.0,67.0,68.0,70.0,71.0,70.0,71.0,69.0,68.0,67.0,67.0,69.0,69.0,67.0,69.0,69.0,68.0,66.0,67.0,67.0,67.0,65.0,67.0,68.0,68.0,67.0,67.0,68.0,69.0,66.0,68.0,68.0,67.0,65.0,66.0,68.0,68.0,66.0,66.0,66.0,66.0,64.0,63.0,67.0,67.0,65.0,65.0,64.0,64.0,64.0,64.0,66.0,65.0,64.0,64.0,62.0,62.0,63.0,63.0,65.0,64.0,62.0,62.0,62.0,61.0,62.0,62.0,63.0,64.0,62.0,62.0,59.0,59.0,61.0,61.0,61.0,62.0,60.0,59.0,56.0,56.0,57.0,57.0,59.0,60.0,57.0,57.0,53.0,51.0,52.0,53.0,54.0,55.0,53.0,53.0,,,,,,,,,70.41666666666667,68.95,65.4,58.21875
5.0,,659.0,0.021,0.363,0.761,-0.025,0.351,73.0,72.0,71.0,69.0,74.0,77.0,78.0,73.0,78.0,76.0,74.0,73.0,72.0,73.0,74.0,73.0,68.0,68.0,69.0,69.0,66.0,68.0,67.0,66.0,64.0,65.0,64.0,62.0,,,68.0,67.0,65.0,65.0,,,72.0,74.0,70.0,69.0,69.0,68.0,67.0,67.0,73.0,73.0,71.0,72.0,70.0,69.0,68.0,68.0,71.0,71.0,70.0,71.0,69.0,69.0,67.0,68.0,70.0,71.0,70.0,71.0,69.0,68.0,66.0,66.0,68.0,69.0,67.0,69.0,69.0,68.0,66.0,67.0,67.0,67.0,65.0,66.0,68.0,68.0,67.0,66.0,68.0,69.0,66.0,68.0,67.0,67.0,65.0,65.0,68.0,68.0,66.0,66.0,66.0,66.0,64.0,63.0,67.0,67.0,65.0,65.0,64.0,63.0,64.0,64.0,66.0,65.0,64.0,64.0,62.0,62.0,63.0,63.0,65.0,64.0,62.0,62.0,62.0,61.0,62.0,62.0,63.0,64.0,62.0,62.0,59.0,59.0,61.0,61.0,61.0,62.0,59.0,59.0,56.0,56.0,57.0,57.0,59.0,60.0,57.0,57.0,53.0,50.0,52.0,52.0,54.0,55.0,53.0,52.0,,,,,,,,,70.16666666666667,68.75,65.3,58.09375
6.0,,659.0,0.0205,0.368,0.761,-0.025,0.325,73.0,72.0,71.0,69.0,74.0,76.0,77.0,72.0,77.0,76.0,74.0,73.0,72.0,73.0,74.0,73.0,68.0,68.0,69.0,68.0,66.0,67.0,67.0,66.0,64.0,64.0,64.0,62.0,,,67.0,67.0,65.0,65.0,,,72.0,74.0,70.0,69.0,69.0,68.0,66.0,66.0,73.0,73.0,71.0,72.0,70.0,69.0,68.0,68.0,71.0,71.0,70.0,71.0,69.0,68.0,67.0,67.0,70.0,71.0,70.0,71.0,69.0,68.0,66.0,66.0,68.0,69.0,67.0,68.0,68.0,68.0,66.0,67.0,67.0,67.0,65.0,66.0,68.0,68.0,67.0,66.0,68.0,69.0,66.0,67.0,67.0,67.0,65.0,65.0,68.0,68.0,66.0,66.0,65.0,65.0,64.0,63.0,67.0,67.0,65.0,65.0,64.0,63.0,64.0,64.0,66.0,65.0,64.0,63.0,62.0,62.0,63.0,63.0,64.0,64.0,61.0,62.0,62.0,61.0,61.0,62.0,63.0,64.0,62.0,62.0,59.0,59.0,60.0,60.0,61.0,61.0,59.0,59.0,56.0,56.0,57.0,57.0,59.0,60.0,57.0,57.0,52.0,50.0,51.0,52.0,54.0,55.0,53.0,52.0,,,,,,,,,69.94444444444444,68.6,65.15,57.90625
7.0,,659.0,0.0222,0.427,0.708,-0.025,0.311,72.0,71.0,70.0,69.0,74.0,76.0,77.0,72.0,77.0,76.0,73.0,72.0,72.0,73.0,74.0,73.0,67.0,68.0,69.0,68.0,66.0,67.0,67.0,66.0,64.0,64.0,64.0,62.0,,,67.0,66.0,65.0,65.0,,,71.0,74.0,70.0,69.0,69.0,68.0,66.0,66.0,73.0,73.0,71.0,71.0,70.0,69.0,68.0,68.0,70.0,71.0,69.0,71.0,69.0,68.0,66.0,67.0,70.0,71.0,70.0,71.0,69.0,68.0,66.0,66.0,68.0,69.0,67.0,68.0,68.0,67.0,66.0,67.0,66.0,67.0,64.0,66.0,68.0,68.0,66.0,66.0,68.0,69.0,66.0,67.0,67.0,67.0,65.0,65.0,67.0,68.0,65.0,66.0,65.0,65.0,64.0,63.0,67.0,67.0,65.0,65.0,64.0,63.0,63.0,63.0,65.0,64.0,64.0,63.0,62.0,62.0,62.0,63.0,64.0,63.0,61.0,62.0,62.0,61.0,61.0,62.0,63.0,64.0,61.0,61.0,59.0,59.0,59.0,60.0,61.0,61.0,59.0,59.0,56.0,55.0,56.0,56.0,59.0,60.0,57.0,57.0,52.0,50.0,51.0,52.0,54.0,55.0,53.0,52.0,,,,,,,,,69.72222222222223,68.425,64.925,57.71875
8.0,,651.0,0.0379,0.465,0.755,-0.025,0.278,72.0,71.0,70.0,68.0,74.0,76.0,77.0,72.0,77.0,76.0,73.0,72.0,72.0,73.0,74.0,73.0,67.0,68.0,69.0,68.0,65.0,67.0,66.0,66.0,64.0,64.0,64.0,62.0,,,67.0,66.0,65.0,65.0,,,71.0,73.0,70.0,68.0,69.0,68.0,66.0,66.0,73.0,73.0,71.0,71.0,70.0,69.0,68.0,68.0,70.0,71.0,69.0,71.0,69.0,68.0,66.0,67.0,69.0,70.0,69.0,71.0,68.0,67.0,66.0,66.0,68.0,69.0,67.0,68.0,68.0,67.0,66.0,67.0,66.0,67.0,64.0,66.0,67.0,68.0,66.0,66.0,68.0,69.0,66.0,67.0,67.0,66.0,65.0,65.0,67.0,68.0,65.0,66.0,65.0,65.0,64.0,63.0,67.0,66.0,64.0,65.0,63.0,63.0,63.0,63.0,65.0,64.0,64.0,63.0,61.0,62.0,62.0,63.0,64.0,63.0,61.0,61.0,61.0,61.0,61.0,61.0,63.0,64.0,61.0,61.0,59.0,59.0,59.0,60.0,61.0,61.0,58.0,58.0,56.0,55.0,56.0,56.0,59.0,60.0,56.0,56.0,52.0,50.0,51.0,52.0,54.0,54.0,53.0,52.0,,,,,,,,,69.58333333333333,68.3,64.75,57.5
9.0,,651.0,0.0301,0.465,0.625,-0.025,0.231,72.0,71.0,70.0,68.0,74.0,76.0,77.0,72.0,77.0,76.0,73.0,72.0,72.0,73.0,73.0,72.0,67.0,68.0,69.0,68.0,65.0,67.0,66.0,66.0,64.0,64.0,64.0,62.0,,,67.0,66.0,65.0,65.0,,,71.0,73.0,69.0,68.0,69.0,68.0,66.0,66.0,73.0,73.0,71.0,71.0,69.0,69.0,67.0,68.0,70.0,70.0,69.0,70.0,68.0,68.0,66.0,67.0,69.0,70.0,69.0,71.0,68.0,67.0,66.0,66.0,68.0,68.0,66.0,68.0,68.0,67.0,66.0,67.0,66.0,67.0,64.0,66.0,67.0,67.0,66.0,66.0,67.0,68.0,66.0,67.0,67.0,66.0,65.0,65.0,67.0,67.0,65.0,65.0,65.0,65.0,64.0,63.0,67.0,66.0,64.0,65.0,63.0,63.0,63.0,63.0,65.0,64.0,63.0,63.0,61.0,62.0,62.0,63.0,64.0,63.0,61.0,61.0,61.0,61.0,61.0,61.0,63.0,63.0,61.0,61.0,58.0,58.0,59.0,59.0,61.0,61.0,58.0,58.0,55.0,55.0,56.0,56.0,59.0,60.0,56.0,56.0,52.0,50.0,51.0,52.0,54.0,54.0,53.0,52.0,,,,,,,,,69.5,68.125,64.6,57.34375
