时间,烟气层,CO,透光,1D,0.5D,辐射3,1.5D,1-1,1-2,1-3,1-4,1-5,1-6,1-7,1-8,1-9,1-10,1-11,1-12,1-13,1-14,1-15,1-16,1-17,1-18,1-19,1-20,1-21,1-22,1-23,1-24,1-25,1-26,1-27,1-28,1-29,1-30,1-31,1-32,1-33,1-34,1-35,1-36,1-37,1-38,1-39,1-40,2-1,2-2,2-3,2-4,2-5,2-6,2-7,2-8,2-9,2-10,2-11,2-12,2-13,2-14,2-15,2-16,2-17,2-18,2-19,2-20,2-21,2-22,2-23,2-24,2-25,2-26,2-27,2-28,2-29,2-30,2-31,2-32,2-33,2-34,2-35,2-36,2-37,2-38,2-39,2-40,3-1,3-2,3-3,3-4,3-5,3-6,3-7,3-8,3-9,3-10,3-11,3-12,3-13,3-14,3-15,3-16,3-17,3-18,3-19,3-20,3-21,3-22,3-23,3-24,3-25,3-26,3-27,3-28,3-29,3-30,3-31,3-32,3-33,3-34,3-35,3-36,3-37,3-38,3-39,3-40,4-1,4-2,4-3,4-4,4-5,4-6,4-7,4-8,4-9,4-10,4-11,4-12,4-13,4-14,4-15,4-16,4-17,4-18,4-19,4-20,4-21,4-22,4-23,4-24,4-25,4-26,4-27,4-28,4-29,4-30,4-31,4-32,4-33,4-34,4-35,4-36,4-37,4-38,4-39,4-40,layer1_mean,layer2_mean,layer3_mean,layer4_mean
0.0,,490.0,0.0276,0.69,0.489,0.256,0.398,95.0,96.0,97.0,96.0,97.0,105.0,108.0,103.0,112.0,111.0,107.0,100.0,98.0,100.0,102.0,99.0,90.0,91.0,90.0,88.0,87.0,88.0,86.0,83.0,82.0,84.0,83.0,80.0,,,88.0,90.0,84.0,83.0,,,99.0,97.0,96.0,93.0,90.0,92.0,86.0,84.0,102.0,102.0,97.0,95.0,91.0,92.0,86.0,84.0,96.0,98.0,94.0,94.0,90.0,92.0,86.0,85.0,93.0,94.0,92.0,92.0,90.0,91.0,86.0,85.0,90.0,92.0,86.0,87.0,87.0,87.0,83.0,84.0,86.0,89.0,82.0,85.0,84.0,86.0,82.0,83.0,89.0,88.0,83.0,86.0,84.0,83.0,80.0,82.0,87.0,85.0,81.0,83.0,80.0,80.0,78.0,77.0,86.0,83.0,81.0,81.0,77.0,76.0,75.0,77.0,85.0,77.0,79.0,77.0,74.0,73.0,72.0,74.0,80.0,73.0,73.0,73.0,70.0,68.0,69.0,71.0,76.0,69.0,71.0,72.0,64.0,62.0,64.0,65.0,72.0,65.0,66.0,66.0,57.0,57.0,59.0,59.0,62.0,60.0,59.0,60.0,50.0,53.0,51.0,52.0,46.0,53.0,51.0,53.0,,,,,,,,,94.11111111111111,89.925,80.175,61.625
1.0,,490.0,0.0283,0.869,0.394,0.284,0.311,94.0,96.0,97.0,96.0,97.0,105.0,108.0,103.0,111.0,109.0,106.0,99.0,96.0,99.0,102.0,99.0,90.0,91.0,90.0,88.0,86.0,87.0,86.0,82.0,81.0,83.0,83.0,80.0,,,88.0,90.0,84.0,82.0,,,98.0,96.0,96.0,92.0,90.0,91.0,85.0,83.0,100.0,101.0,97.0,95.0,91.0,92.0,86.0,84.0,95.0,97.0,93.0,93.0,89.0,91.0,86.0,84.0,92.0,93.0,91.0,91.0,89.0,90.0,85.0,84.0,90.0,92.0,86.0,87.0,87.0,87.0,83.0,84.0,86.0,88.0,82.0,84.0,84.0,86.0,82.0,83.0,88.0,86.0,82.0,85.0,83.0,82.0,80.0,81.0,87.0,85.0,81.0,83.0,79.0,79.0,77.0,76.0,85.0,83.0,81.0,81.0,77.0,76.0,75.0,76.0,83.0,75.0,77.0,76.0,73.0,73.0,72.0,74.0,80.0,72.0,73.0,72.0,69.0,67.0,68.0,70.0,75.0,69.0,71.0,72.0,64.0,62.0,64.0,65.0,70.0,65.0,65.0,65.0,56.0,57.0,59.0,59.0,61.0,60.0,58.0,59.0,49.0,52.0,51.0,52.0,46.0,53.0,51.0,53.0,,,,,,,,,93.61111111111111,89.35,79.575,61.15625
2.0,,488.0,0.0279,0.949,0.53,0.316,0.365,94.0,95.0,96.0,95.0,96.0,104.0,107.0,102.0,110.0,108.0,106.0,99.0,96.0,99.0,100.0,98.0,89.0,90.0,89.0,87.0,86.0,86.0,86.0,82.0,81.0,83.0,82.0,79.0,,,87.0,89.0,83.0,81.0,,,98.0,96.0,95.0,92.0,89.0,90.0,85.0,83.0,100.0,101.0,96.0,94.0,90.0,91.0,86.0,84.0,95.0,97.0,93.0,93.0,89.0,91.0,86.0,84.0,91.0,92.0,90.0,90.0,88.0,89.0,85.0,84.0,89.0,91.0,85.0,86.0,86.0,86.0,82.0,83.0,85.0,88.0,82.0,84.0,83.0,84.0,81.0,82.0,87.0,86.0,82.0,85.0,83.0,82.0,80.0,81.0,86.0,84.0,80.0,82.0,79.0,79.0,77.0,76.0,84.0,82.0,80.0,81.0,77.0,74.0,75.0,75.0,82.0,75.0,77.0,76.0,73.0,71.0,71.0,73.0,79.0,72.0,72.0,71.0,69.0,67.0,68.0,70.0,75.0,68.0,70.0,70.0,63.0,61.0,64.0,65.0,70.0,65.0,65.0,65.0,56.0,56.0,58.0,58.0,60.0,59.0,58.0,59.0,49.0,52.0,50.0,52.0,45.0,54.0,50.0,52.0,,,,,,,,,92.94444444444444,88.825,78.975,60.71875
3.0,,486.0,0.0358,0.949,0.465,0.265,0.325,93.0,94.0,95.0,95.0,96.0,104.0,107.0,102.0,110.0,108.0,104.0,97.0,95.0,97.0,99.0,96.0,88.0,89.0,89.0,87.0,86.0,86.0,85.0,82.0,81.0,82.0,81.0,79.0,,,87.0,89.0,83.0,81.0,,,97.0,95.0,95.0,91.0,89.0,90.0,84.0,82.0,99.0,99.0,95.0,94.0,90.0,91.0,86.0,84.0,94.0,95.0,92.0,92.0,88.0,91.0,85.0,84.0,91.0,92.0,90.0,90.0,88.0,89.0,84.0,83.0,88.0,89.0,84.0,86.0,86.0,86.0,82.0,83.0,84.0,87.0,81.0,83.0,83.0,84.0,81.0,82.0,87.0,85.0,81.0,84.0,83.0,81.0,79.0,80.0,86.0,84.0,80.0,82.0,79.0,78.0,77.0,75.0,83.0,80.0,79.0,79.0,76.0,72.0,74.0,75.0,82.0,74.0,77.0,75.0,72.0,69.0,70.0,72.0,79.0,71.0,72.0,71.0,68.0,66.0,67.0,69.0,73.0,66.0,70.0,70.0,63.0,61.0,63.0,65.0,69.0,63.0,64.0,64.0,55.0,56.0,58.0,58.0,60.0,59.0,57.0,58.0,49.0,51.0,50.0,51.0,44.0,52.0,50.0,52.0,,,,,,,,,92.36111111111111,88.25,78.325,60.03125
4.0,,486.0,0.0479,0.813,0.388,0.344,0.231,93.0,94.0,95.0,94.0,95.0,102.0,105.0,100.0,108.0,106.0,103.0,97.0,94.0,97.0,99.0,96.0,88.0,89.0,88.0,86.0,85.0,85.0,84.0,82.0,80.0,82.0,81.0,78.0,,,86.0,88.0,82.0,81.0,,,96.0,95.0,94.0,91.0,89.0,90.0,84.0,82.0,99.0,99.0,95.0,93.0,89.0,90.0,85.0,83.0,94.0,95.0,92.0,92.0,88.0,89.0,85.0,83.0,90.0,91.0,89.0,89.0,87.0,88.0,83.0,83.0,88.0,89.0,84.0,85.0,86.0,85.0,82.0,82.0,83.0,86.0,81.0,83.0,82.0,83.0,80.0,81.0,85.0,84.0,80.0,83.0,83.0,81.0,79.0,80.0,84.0,83.0,79.0,81.0,78.0,77.0,76.0,75.0,83.0,80.0,79.0,79.0,76.0,72.0,74.0,74.0,79.0,72.0,75.0,74.0,72.0,69.0,70.0,72.0,76.0,69.0,71.0,70.0,68.0,66.0,67.0,69.0,73.0,66.0,69.0,69.0,61.0,60.0,62.0,65.0,69.0,63.0,64.0,64.0,55.0,56.0,57.0,57.0,59.0,57.0,55.0,58.0,48.0,51.0,50.0,51.0,44.0,52.0,49.0,51.0,,,,,,,,,91.63888888888889,87.75,77.5,59.53125
5.0,,486.0,0.0612,0.712,-0.002,0.298,0.137,92.0,92.0,93.0,93.0,95.0,102.0,105.0,100.0,108.0,106.0,103.0,96.0,94.0,96.0,98.0,95.0,88.0,89.0,88.0,86.0,85.0,85.0,84.0,81.0,80.0,81.0,81.0,78.0,,,86.0,88.0,82.0,81.0,,,94.0,94.0,93.0,89.0,88.0,89.0,84.0,82.0,97.0,98.0,93.0,92.0,89.0,90.0,85.0,83.0,92.0,94.0,91.0,91.0,87.0,88.0,84.0,82.0,90.0,91.0,89.0,89.0,87.0,88.0,83.0,82.0,86.0,88.0,83.0,84.0,86.0,85.0,82.0,82.0,81.0,85.0,80.0,82.0,81.0,83.0,80.0,81.0,85.0,84.0,80.0,83.0,81.0,80.0,78.0,80.0,80.0,83.0,79.0,81.0,78.0,77.0,76.0,75.0,79.0,79.0,78.0,79.0,74.0,72.0,74.0,74.0,79.0,72.0,75.0,74.0,71.0,68.0,70.0,71.0,74.0,69.0,70.0,69.0,66.0,65.0,67.0,68.0,73.0,66.0,69.0,69.0,61.0,60.0,62.0,64.0,66.0,62.0,63.0,63.0,55.0,56.0,57.0,57.0,59.0,57.0,55.0,57.0,48.0,51.0,50.0,51.0,47.0,51.0,49.0,51.0,,,,,,,,,91.13888888888889,87.05,76.9,59.21875
6.0,,485.0,0.0648,0.644,-0.032,0.256,0.137,92.0,92.0,93.0,93.0,92.0,100.0,104.0,99.0,106.0,106.0,103.0,96.0,94.0,96.0,98.0,95.0,87.0,88.0,88.0,86.0,84.0,85.0,83.0,80.0,79.0,80.0,81.0,78.0,,,84.0,87.0,82.0,80.0,,,94.0,93.0,92.0,89.0,86.0,88.0,83.0,81.0,96.0,98.0,93.0,92.0,87.0,89.0,84.0,82.0,90.0,94.0,90.0,91.0,87.0,88.0,84.0,82.0,87.0,90.0,88.0,88.0,84.0,88.0,83.0,82.0,86.0,88.0,83.0,84.0,83.0,84.0,81.0,81.0,80.0,85.0,79.0,82.0,81.0,82.0,80.0,80.0,82.0,83.0,80.0,83.0,81.0,80.0,78.0,79.0,80.0,82.0,78.0,80.0,76.0,76.0,76.0,75.0,79.0,79.0,78.0,78.0,74.0,71.0,73.0,73.0,76.0,72.0,74.0,73.0,69.0,68.0,70.0,71.0,73.0,69.0,69.0,69.0,65.0,64.0,67.0,68.0,70.0,65.0,67.0,68.0,60.0,59.0,62.0,63.0,66.0,62.0,63.0,63.0,54.0,55.0,57.0,57.0,58.0,57.0,54.0,56.0,48.0,51.0,50.0,51.0,47.0,51.0,48.0,50.0,,,,,,,,,90.52777777777777,86.275,76.25,58.625
7.0,,486.0,0.0682,0.529,-0.197,0.19,0.07,90.0,90.0,92.0,92.0,87.0,98.0,104.0,99.0,106.0,104.0,101.0,95.0,92.0,94.0,97.0,94.0,85.0,87.0,87.0,86.0,84.0,85.0,83.0,80.0,79.0,80.0,80.0,77.0,,,83.0,87.0,82.0,80.0,,,92.0,92.0,91.0,88.0,86.0,88.0,83.0,81.0,94.0,97.0,91.0,90.0,84.0,88.0,84.0,82.0,90.0,93.0,89.0,90.0,84.0,87.0,83.0,81.0,85.0,89.0,88.0,88.0,84.0,87.0,82.0,81.0,83.0,87.0,82.0,83.0,80.0,84.0,81.0,81.0,78.0,84.0,78.0,81.0,78.0,82.0,80.0,80.0,82.0,83.0,79.0,82.0,78.0,79.0,77.0,79.0,78.0,81.0,78.0,80.0,76.0,76.0,75.0,74.0,77.0,79.0,76.0,77.0,71.0,71.0,73.0,73.0,76.0,72.0,74.0,73.0,69.0,68.0,69.0,70.0,72.0,68.0,68.0,69.0,65.0,64.0,66.0,67.0,69.0,65.0,66.0,68.0,60.0,59.0,62.0,63.0,65.0,61.0,61.0,62.0,54.0,55.0,56.0,57.0,58.0,57.0,54.0,56.0,48.0,51.0,49.0,50.0,50.0,51.0,48.0,50.0,,,,,,,,,89.52777777777777,85.275,75.55,58.34375
8.0,,485.0,0.0717,0.376,-0.233,0.232,0.07,88.0,88.0,90.0,91.0,87.0,97.0,102.0,98.0,104.0,101.0,100.0,94.0,92.0,94.0,97.0,94.0,85.0,87.0,87.0,85.0,83.0,84.0,83.0,80.0,79.0,80.0,80.0,77.0,,,83.0,86.0,81.0,79.0,,,91.0,92.0,91.0,88.0,84.0,87.0,82.0,80.0,92.0,96.0,91.0,90.0,84.0,88.0,83.0,81.0,87.0,92.0,88.0,90.0,84.0,87.0,83.0,81.0,85.0,89.0,86.0,87.0,82.0,85.0,81.0,81.0,81.0,86.0,82.0,83.0,80.0,83.0,80.0,80.0,77.0,84.0,77.0,81.0,78.0,82.0,79.0,79.0,80.0,83.0,78.0,81.0,76.0,79.0,77.0,79.0,78.0,81.0,77.0,79.0,74.0,75.0,74.0,73.0,75.0,78.0,75.0,77.0,71.0,71.0,72.0,72.0,74.0,71.0,73.0,73.0,69.0,68.0,69.0,70.0,70.0,68.0,68.0,68.0,64.0,64.0,65.0,67.0,69.0,65.0,66.0,67.0,59.0,59.0,61.0,62.0,64.0,61.0,61.0,62.0,54.0,55.0,56.0,56.0,59.0,56.0,54.0,55.0,48.0,50.0,49.0,50.0,50.0,51.0,48.0,50.0,,,,,,,,,88.83333333333333,84.5,74.85,58.03125
9.0,,485.0,0.0749,0.266,-0.274,0.232,0.131,88.0,88.0,90.0,90.0,84.0,94.0,101.0,97.0,103.0,101.0,100.0,94.0,89.0,92.0,95.0,93.0,83.0,85.0,86.0,84.0,82.0,84.0,83.0,80.0,79.0,80.0,79.0,76.0,,,81.0,85.0,81.0,79.0,,,91.0,91.0,89.0,87.0,82.0,87.0,82.0,80.0,92.0,96.0,89.0,89.0,82.0,86.0,82.0,81.0,87.0,92.0,87.0,89.0,82.0,86.0,82.0,81.0,83.0,88.0,84.0,87.0,79.0,85.0,81.0,81.0,81.0,86.0,79.0,82.0,78.0,81.0,79.0,80.0,76.0,83.0,76.0,80.0,76.0,80.0,78.0,79.0,80.0,83.0,78.0,81.0,76.0,79.0,77.0,78.0,76.0,81.0,75.0,78.0,74.0,75.0,74.0,73.0,75.0,78.0,75.0,77.0,70.0,71.0,71.0,71.0,72.0,71.0,73.0,73.0,67.0,68.0,68.0,69.0,70.0,68.0,67.0,68.0,64.0,64.0,65.0,66.0,67.0,65.0,66.0,66.0,59.0,59.0,61.0,62.0,64.0,61.0,61.0,61.0,54.0,54.0,56.0,56.0,59.0,56.0,54.0,55.0,48.0,50.0,49.0,50.0,52.0,51.0,48.0,49.0,,,,,,,,,87.88888888888889,83.575,74.325,57.875
