时间,烟气层,CO,透光,1D,0.5D,辐射3,1.5D,1-1,1-2,1-3,1-4,1-5,1-6,1-7,1-8,1-9,1-10,1-11,1-12,1-13,1-14,1-15,1-16,1-17,1-18,1-19,1-20,1-21,1-22,1-23,1-24,1-25,1-26,1-27,1-28,1-29,1-30,1-31,1-32,1-33,1-34,1-35,1-36,1-37,1-38,1-39,1-40,2-1,2-2,2-3,2-4,2-5,2-6,2-7,2-8,2-9,2-10,2-11,2-12,2-13,2-14,2-15,2-16,2-17,2-18,2-19,2-20,2-21,2-22,2-23,2-24,2-25,2-26,2-27,2-28,2-29,2-30,2-31,2-32,2-33,2-34,2-35,2-36,2-37,2-38,2-39,2-40,3-1,3-2,3-3,3-4,3-5,3-6,3-7,3-8,3-9,3-10,3-11,3-12,3-13,3-14,3-15,3-16,3-17,3-18,3-19,3-20,3-21,3-22,3-23,3-24,3-25,3-26,3-27,3-28,3-29,3-30,3-31,3-32,3-33,3-34,3-35,3-36,3-37,3-38,3-39,3-40,4-1,4-2,4-3,4-4,4-5,4-6,4-7,4-8,4-9,4-10,4-11,4-12,4-13,4-14,4-15,4-16,4-17,4-18,4-19,4-20,4-21,4-22,4-23,4-24,4-25,4-26,4-27,4-28,4-29,4-30,4-31,4-32,4-33,4-34,4-35,4-36,4-37,4-38,4-39,4-40,layer1_mean,layer2_mean,layer3_mean,layer4_mean
0.0,,531.0,0.0089,0.38,0.53,-0.025,0.264,74.0,73.0,71.0,69.0,76.0,79.0,76.0,72.0,76.0,79.0,73.0,70.0,73.0,74.0,73.0,71.0,68.0,66.0,69.0,67.0,66.0,67.0,66.0,65.0,64.0,63.0,64.0,62.0,,,69.0,67.0,66.0,64.0,,,73.0,69.0,71.0,67.0,70.0,68.0,67.0,66.0,75.0,72.0,72.0,70.0,71.0,69.0,67.0,67.0,71.0,69.0,70.0,70.0,70.0,67.0,67.0,67.0,69.0,68.0,70.0,69.0,69.0,67.0,66.0,66.0,68.0,67.0,67.0,67.0,68.0,65.0,65.0,66.0,65.0,64.0,64.0,65.0,67.0,66.0,66.0,66.0,65.0,66.0,65.0,66.0,67.0,66.0,64.0,65.0,64.0,65.0,65.0,65.0,64.0,65.0,63.0,63.0,63.0,64.0,64.0,64.0,62.0,63.0,62.0,62.0,62.0,62.0,62.0,62.0,60.0,62.0,59.0,61.0,60.0,61.0,59.0,59.0,58.0,59.0,57.0,59.0,60.0,61.0,58.0,57.0,55.0,55.0,55.0,57.0,59.0,57.0,54.0,54.0,52.0,51.0,52.0,52.0,57.0,53.0,51.0,51.0,46.0,45.0,45.0,47.0,51.0,43.0,47.0,45.0,,,,,,,,,69.77777777777777,68.0,63.4,53.21875
1.0,,531.0,0.0089,0.376,0.512,-0.025,0.264,73.0,72.0,70.0,69.0,76.0,78.0,76.0,72.0,75.0,78.0,73.0,70.0,73.0,73.0,72.0,70.0,68.0,66.0,69.0,67.0,66.0,67.0,66.0,65.0,64.0,63.0,64.0,62.0,,,69.0,67.0,66.0,64.0,,,73.0,69.0,71.0,67.0,70.0,68.0,67.0,66.0,75.0,72.0,71.0,70.0,70.0,69.0,67.0,67.0,71.0,69.0,70.0,70.0,70.0,67.0,67.0,67.0,69.0,68.0,70.0,69.0,69.0,67.0,65.0,66.0,67.0,66.0,66.0,66.0,68.0,65.0,65.0,66.0,64.0,63.0,63.0,64.0,67.0,66.0,66.0,66.0,65.0,66.0,65.0,66.0,66.0,66.0,64.0,65.0,64.0,65.0,65.0,65.0,64.0,65.0,63.0,62.0,63.0,64.0,63.0,64.0,62.0,63.0,62.0,62.0,62.0,62.0,62.0,62.0,59.0,62.0,59.0,61.0,60.0,61.0,58.0,59.0,57.0,59.0,57.0,59.0,60.0,60.0,58.0,57.0,55.0,55.0,55.0,57.0,59.0,57.0,54.0,54.0,52.0,51.0,51.0,52.0,57.0,52.0,51.0,51.0,46.0,45.0,45.0,47.0,51.0,42.0,46.0,45.0,,,,,,,,,69.52777777777777,67.725,63.275,53.03125
2.0,,531.0,0.0089,0.385,0.471,-0.025,0.298,73.0,72.0,70.0,69.0,76.0,78.0,76.0,72.0,75.0,78.0,72.0,69.0,72.0,73.0,72.0,70.0,68.0,66.0,68.0,66.0,66.0,67.0,65.0,65.0,64.0,63.0,64.0,62.0,,,68.0,66.0,65.0,64.0,,,73.0,69.0,71.0,67.0,69.0,67.0,66.0,65.0,74.0,71.0,71.0,70.0,70.0,68.0,67.0,67.0,71.0,68.0,70.0,70.0,69.0,67.0,66.0,67.0,69.0,67.0,69.0,68.0,69.0,66.0,65.0,66.0,67.0,66.0,66.0,66.0,68.0,65.0,65.0,65.0,64.0,62.0,63.0,64.0,67.0,66.0,65.0,66.0,65.0,65.0,65.0,66.0,66.0,66.0,64.0,65.0,64.0,64.0,64.0,64.0,64.0,65.0,63.0,62.0,63.0,64.0,63.0,63.0,62.0,63.0,61.0,62.0,61.0,61.0,62.0,62.0,59.0,62.0,59.0,61.0,60.0,60.0,58.0,58.0,57.0,59.0,57.0,58.0,60.0,59.0,57.0,56.0,55.0,55.0,55.0,57.0,58.0,56.0,54.0,53.0,51.0,51.0,51.0,51.0,57.0,52.0,51.0,50.0,46.0,45.0,45.0,47.0,51.0,42.0,46.0,45.0,,,,,,,,,69.27777777777777,67.325,63.0,52.71875
3.0,,531.0,0.009,0.431,0.518,-0.02,0.311,73.0,72.0,70.0,69.0,75.0,78.0,75.0,71.0,75.0,78.0,72.0,69.0,72.0,73.0,72.0,70.0,67.0,65.0,68.0,66.0,66.0,67.0,65.0,65.0,63.0,63.0,63.0,61.0,,,68.0,66.0,65.0,64.0,,,73.0,68.0,70.0,67.0,69.0,67.0,66.0,65.0,74.0,71.0,71.0,69.0,70.0,68.0,66.0,67.0,70.0,68.0,70.0,70.0,69.0,67.0,66.0,66.0,68.0,66.0,69.0,68.0,68.0,66.0,65.0,66.0,67.0,65.0,66.0,66.0,67.0,65.0,64.0,65.0,64.0,62.0,63.0,64.0,66.0,65.0,65.0,66.0,65.0,65.0,64.0,65.0,66.0,65.0,63.0,64.0,64.0,64.0,64.0,64.0,64.0,65.0,62.0,62.0,63.0,63.0,63.0,63.0,62.0,62.0,61.0,62.0,61.0,61.0,62.0,61.0,59.0,61.0,58.0,60.0,60.0,60.0,58.0,58.0,57.0,59.0,57.0,58.0,60.0,59.0,57.0,56.0,55.0,55.0,54.0,56.0,58.0,56.0,54.0,53.0,51.0,51.0,51.0,51.0,57.0,51.0,51.0,50.0,46.0,45.0,45.0,47.0,51.0,42.0,46.0,44.0,,,,,,,,,69.0,67.075,62.65,52.59375
4.0,,531.0,0.0087,0.436,0.66,-0.02,0.278,72.0,72.0,70.0,69.0,75.0,78.0,75.0,71.0,74.0,77.0,71.0,68.0,72.0,73.0,72.0,70.0,67.0,65.0,68.0,66.0,65.0,66.0,65.0,65.0,63.0,63.0,63.0,61.0,,,68.0,66.0,65.0,63.0,,,72.0,68.0,70.0,66.0,69.0,67.0,66.0,65.0,74.0,71.0,71.0,69.0,70.0,68.0,66.0,66.0,70.0,67.0,69.0,69.0,69.0,67.0,66.0,66.0,68.0,66.0,69.0,68.0,68.0,66.0,65.0,65.0,66.0,64.0,66.0,66.0,67.0,65.0,64.0,65.0,64.0,61.0,63.0,64.0,66.0,65.0,65.0,65.0,64.0,64.0,64.0,65.0,66.0,65.0,63.0,64.0,63.0,63.0,64.0,64.0,64.0,64.0,62.0,62.0,62.0,62.0,63.0,63.0,62.0,62.0,61.0,62.0,60.0,60.0,61.0,61.0,59.0,61.0,58.0,60.0,59.0,59.0,58.0,58.0,57.0,58.0,56.0,58.0,59.0,57.0,56.0,55.0,54.0,55.0,54.0,56.0,57.0,55.0,53.0,52.0,51.0,50.0,51.0,51.0,56.0,51.0,51.0,50.0,46.0,45.0,45.0,47.0,50.0,42.0,46.0,44.0,,,,,,,,,68.72222222222223,66.875,62.325,52.125
5.0,,530.0,0.009,0.431,0.643,-0.02,0.298,72.0,71.0,69.0,68.0,75.0,77.0,75.0,71.0,74.0,77.0,71.0,68.0,72.0,72.0,71.0,69.0,67.0,65.0,67.0,66.0,65.0,66.0,65.0,65.0,63.0,63.0,63.0,61.0,,,68.0,66.0,65.0,63.0,,,72.0,67.0,69.0,66.0,69.0,67.0,66.0,65.0,73.0,70.0,70.0,69.0,69.0,68.0,66.0,66.0,70.0,67.0,69.0,69.0,69.0,66.0,66.0,66.0,68.0,65.0,68.0,67.0,68.0,66.0,65.0,65.0,66.0,64.0,65.0,65.0,67.0,64.0,64.0,65.0,64.0,61.0,62.0,63.0,66.0,65.0,65.0,65.0,64.0,64.0,64.0,65.0,66.0,65.0,63.0,64.0,63.0,62.0,64.0,63.0,64.0,64.0,62.0,62.0,62.0,62.0,63.0,62.0,61.0,62.0,60.0,61.0,60.0,60.0,61.0,60.0,59.0,61.0,58.0,60.0,58.0,58.0,57.0,57.0,57.0,58.0,56.0,58.0,59.0,57.0,56.0,55.0,54.0,55.0,54.0,56.0,57.0,54.0,53.0,52.0,51.0,50.0,51.0,51.0,56.0,50.0,50.0,49.0,46.0,45.0,45.0,47.0,50.0,42.0,46.0,44.0,,,,,,,,,68.44444444444444,66.55,62.05,52.0
6.0,,530.0,0.009,0.38,0.589,-0.02,0.345,72.0,71.0,69.0,68.0,75.0,77.0,74.0,71.0,73.0,77.0,70.0,67.0,71.0,71.0,71.0,69.0,67.0,65.0,67.0,66.0,65.0,66.0,65.0,64.0,63.0,62.0,63.0,61.0,,,68.0,66.0,65.0,63.0,,,72.0,67.0,69.0,66.0,68.0,67.0,66.0,65.0,73.0,70.0,69.0,69.0,69.0,68.0,66.0,66.0,69.0,66.0,68.0,68.0,68.0,66.0,66.0,66.0,68.0,65.0,68.0,67.0,68.0,65.0,64.0,65.0,66.0,64.0,65.0,65.0,67.0,64.0,64.0,65.0,63.0,60.0,62.0,63.0,66.0,65.0,65.0,65.0,64.0,63.0,64.0,65.0,65.0,65.0,63.0,64.0,63.0,62.0,64.0,63.0,63.0,64.0,62.0,61.0,62.0,62.0,63.0,62.0,61.0,62.0,60.0,61.0,60.0,58.0,61.0,60.0,58.0,60.0,57.0,59.0,58.0,57.0,57.0,57.0,57.0,58.0,56.0,57.0,58.0,57.0,56.0,55.0,54.0,55.0,54.0,56.0,57.0,54.0,53.0,52.0,51.0,50.0,50.0,51.0,56.0,50.0,50.0,49.0,46.0,45.0,45.0,47.0,50.0,43.0,46.0,44.0,,,,,,,,,68.22222222222223,66.275,61.775,51.9375
7.0,,530.0,0.0098,0.444,0.554,-0.025,0.298,72.0,71.0,69.0,68.0,74.0,77.0,74.0,70.0,72.0,76.0,70.0,67.0,71.0,71.0,70.0,68.0,67.0,64.0,67.0,66.0,65.0,66.0,65.0,64.0,63.0,62.0,63.0,61.0,,,67.0,65.0,64.0,63.0,,,71.0,67.0,69.0,65.0,68.0,66.0,65.0,65.0,73.0,69.0,69.0,68.0,69.0,67.0,66.0,66.0,69.0,66.0,68.0,68.0,68.0,66.0,66.0,66.0,67.0,64.0,68.0,67.0,68.0,65.0,64.0,65.0,66.0,63.0,65.0,65.0,67.0,64.0,64.0,64.0,63.0,60.0,62.0,63.0,66.0,65.0,64.0,64.0,63.0,63.0,64.0,65.0,65.0,64.0,63.0,64.0,63.0,61.0,63.0,63.0,63.0,64.0,62.0,61.0,62.0,61.0,62.0,62.0,61.0,61.0,59.0,61.0,59.0,58.0,61.0,60.0,58.0,60.0,57.0,59.0,58.0,56.0,57.0,56.0,56.0,58.0,55.0,57.0,58.0,57.0,56.0,55.0,54.0,54.0,53.0,55.0,56.0,53.0,52.0,52.0,51.0,50.0,50.0,51.0,56.0,50.0,50.0,49.0,46.0,45.0,45.0,47.0,50.0,43.0,46.0,44.0,,,,,,,,,67.88888888888889,66.05,61.45,51.6875
8.0,,530.0,0.0098,0.419,0.554,-0.02,0.238,71.0,70.0,69.0,68.0,74.0,77.0,74.0,70.0,72.0,76.0,69.0,67.0,70.0,70.0,69.0,68.0,66.0,63.0,67.0,65.0,65.0,66.0,64.0,64.0,62.0,62.0,62.0,61.0,,,67.0,65.0,64.0,63.0,,,71.0,66.0,69.0,65.0,68.0,66.0,65.0,65.0,72.0,68.0,69.0,67.0,69.0,67.0,66.0,66.0,68.0,65.0,68.0,68.0,68.0,65.0,65.0,66.0,67.0,64.0,67.0,66.0,67.0,65.0,64.0,64.0,65.0,62.0,65.0,65.0,67.0,64.0,64.0,64.0,63.0,59.0,61.0,62.0,66.0,65.0,64.0,64.0,63.0,62.0,63.0,64.0,65.0,64.0,63.0,64.0,63.0,61.0,63.0,63.0,63.0,63.0,61.0,61.0,61.0,60.0,62.0,62.0,61.0,61.0,59.0,61.0,59.0,57.0,60.0,59.0,58.0,60.0,57.0,59.0,58.0,56.0,56.0,56.0,56.0,58.0,55.0,57.0,58.0,56.0,55.0,54.0,54.0,54.0,53.0,55.0,56.0,53.0,52.0,51.0,50.0,50.0,50.0,50.0,55.0,50.0,49.0,48.0,46.0,45.0,45.0,47.0,50.0,43.0,46.0,44.0,,,,,,,,,67.52777777777777,65.65,61.175,51.40625
9.0,,530.0,0.0112,0.44,0.607,-0.025,0.224,71.0,70.0,69.0,67.0,74.0,76.0,73.0,69.0,71.0,75.0,68.0,66.0,70.0,70.0,69.0,68.0,66.0,63.0,66.0,64.0,64.0,65.0,64.0,64.0,62.0,62.0,62.0,60.0,,,67.0,65.0,64.0,62.0,,,71.0,66.0,68.0,65.0,68.0,66.0,65.0,64.0,72.0,68.0,69.0,67.0,69.0,67.0,65.0,65.0,68.0,65.0,68.0,68.0,68.0,65.0,65.0,66.0,66.0,64.0,67.0,65.0,67.0,65.0,64.0,64.0,65.0,62.0,64.0,64.0,66.0,63.0,63.0,64.0,62.0,59.0,61.0,62.0,65.0,64.0,64.0,64.0,63.0,61.0,63.0,63.0,65.0,64.0,62.0,63.0,62.0,60.0,62.0,63.0,63.0,63.0,61.0,61.0,61.0,60.0,61.0,61.0,61.0,61.0,59.0,60.0,59.0,57.0,60.0,59.0,58.0,60.0,57.0,59.0,58.0,56.0,56.0,56.0,56.0,57.0,55.0,56.0,57.0,56.0,55.0,54.0,54.0,54.0,53.0,55.0,55.0,53.0,52.0,50.0,50.0,50.0,50.0,50.0,55.0,50.0,49.0,48.0,46.0,44.0,44.0,46.0,50.0,43.0,46.0,44.0,,,,,,,,,67.11111111111111,65.375,60.875,51.15625
