时间,烟气层,CO,透光,1D,0.5D,辐射3,1.5D,1-1,1-2,1-3,1-4,1-5,1-6,1-7,1-8,1-9,1-10,1-11,1-12,1-13,1-14,1-15,1-16,1-17,1-18,1-19,1-20,1-21,1-22,1-23,1-24,1-25,1-26,1-27,1-28,1-29,1-30,1-31,1-32,1-33,1-34,1-35,1-36,1-37,1-38,1-39,1-40,2-1,2-2,2-3,2-4,2-5,2-6,2-7,2-8,2-9,2-10,2-11,2-12,2-13,2-14,2-15,2-16,2-17,2-18,2-19,2-20,2-21,2-22,2-23,2-24,2-25,2-26,2-27,2-28,2-29,2-30,2-31,2-32,2-33,2-34,2-35,2-36,2-37,2-38,2-39,2-40,3-1,3-2,3-3,3-4,3-5,3-6,3-7,3-8,3-9,3-10,3-11,3-12,3-13,3-14,3-15,3-16,3-17,3-18,3-19,3-20,3-21,3-22,3-23,3-24,3-25,3-26,3-27,3-28,3-29,3-30,3-31,3-32,3-33,3-34,3-35,3-36,3-37,3-38,3-39,3-40,4-1,4-2,4-3,4-4,4-5,4-6,4-7,4-8,4-9,4-10,4-11,4-12,4-13,4-14,4-15,4-16,4-17,4-18,4-19,4-20,4-21,4-22,4-23,4-24,4-25,4-26,4-27,4-28,4-29,4-30,4-31,4-32,4-33,4-34,4-35,4-36,4-37,4-38,4-39,4-40,layer1_mean,layer2_mean,layer3_mean,layer4_mean
0.0,,658.0,0.0179,0.516,1.134,-0.02,0.505,95.0,96.0,97.0,96.0,95.0,103.0,107.0,102.0,114.0,103.0,108.0,103.0,95.0,98.0,104.0,103.0,89.0,91.0,93.0,92.0,88.0,89.0,89.0,87.0,83.0,84.0,84.0,82.0,,,89.0,91.0,85.0,85.0,,,94.0,99.0,94.0,95.0,91.0,93.0,86.0,87.0,96.0,101.0,94.0,97.0,90.0,93.0,88.0,89.0,93.0,97.0,93.0,96.0,89.0,92.0,87.0,88.0,90.0,94.0,91.0,94.0,89.0,91.0,86.0,88.0,89.0,92.0,87.0,91.0,87.0,89.0,85.0,87.0,87.0,91.0,85.0,88.0,86.0,89.0,85.0,86.0,87.0,90.0,85.0,88.0,85.0,87.0,83.0,84.0,87.0,89.0,84.0,85.0,83.0,85.0,82.0,81.0,85.0,86.0,84.0,85.0,82.0,83.0,81.0,81.0,83.0,82.0,82.0,83.0,79.0,81.0,79.0,80.0,81.0,81.0,78.0,79.0,78.0,79.0,77.0,78.0,83.0,81.0,77.0,79.0,73.0,74.0,74.0,73.0,78.0,79.0,76.0,76.0,68.0,70.0,69.0,68.0,72.0,74.0,71.0,72.0,64.0,64.0,61.0,64.0,64.0,65.0,66.0,66.0,,,,,,,,,94.5,90.525,83.65,72.28125
1.0,,658.0,0.0172,0.495,1.045,-0.02,0.445,94.0,95.0,96.0,96.0,94.0,102.0,106.0,101.0,114.0,103.0,107.0,102.0,94.0,97.0,103.0,102.0,89.0,90.0,93.0,92.0,88.0,89.0,89.0,87.0,82.0,83.0,84.0,81.0,,,88.0,91.0,85.0,85.0,,,93.0,99.0,94.0,95.0,90.0,93.0,86.0,87.0,95.0,100.0,94.0,97.0,90.0,93.0,87.0,88.0,92.0,97.0,92.0,96.0,89.0,92.0,87.0,88.0,90.0,94.0,91.0,93.0,89.0,91.0,86.0,87.0,88.0,92.0,87.0,90.0,87.0,88.0,85.0,86.0,87.0,90.0,85.0,88.0,86.0,89.0,85.0,86.0,88.0,90.0,85.0,87.0,85.0,86.0,83.0,84.0,87.0,89.0,84.0,86.0,83.0,85.0,82.0,80.0,84.0,86.0,83.0,85.0,82.0,83.0,81.0,81.0,83.0,82.0,82.0,82.0,79.0,80.0,78.0,80.0,81.0,80.0,78.0,79.0,78.0,79.0,77.0,77.0,83.0,80.0,77.0,78.0,73.0,74.0,74.0,73.0,77.0,78.0,75.0,76.0,68.0,70.0,69.0,68.0,72.0,74.0,71.0,72.0,64.0,64.0,61.0,64.0,64.0,65.0,66.0,66.0,,,,,,,,,93.97222222222223,90.175,83.475,72.09375
2.0,,658.0,0.0185,0.652,1.228,-0.02,0.458,93.0,95.0,96.0,96.0,94.0,102.0,106.0,101.0,113.0,102.0,106.0,101.0,93.0,96.0,102.0,101.0,89.0,90.0,93.0,91.0,87.0,88.0,88.0,87.0,81.0,83.0,84.0,81.0,,,88.0,91.0,84.0,84.0,,,93.0,98.0,94.0,94.0,90.0,93.0,86.0,87.0,95.0,100.0,93.0,96.0,90.0,92.0,86.0,88.0,92.0,97.0,92.0,96.0,89.0,91.0,86.0,87.0,90.0,94.0,91.0,93.0,89.0,91.0,86.0,87.0,88.0,92.0,86.0,90.0,86.0,88.0,84.0,86.0,86.0,90.0,84.0,87.0,85.0,88.0,85.0,86.0,87.0,89.0,84.0,87.0,85.0,86.0,83.0,84.0,86.0,88.0,84.0,85.0,82.0,84.0,82.0,80.0,84.0,86.0,83.0,84.0,82.0,82.0,81.0,81.0,83.0,82.0,81.0,82.0,79.0,80.0,78.0,80.0,81.0,80.0,78.0,79.0,77.0,79.0,77.0,77.0,83.0,80.0,77.0,78.0,73.0,74.0,74.0,72.0,76.0,78.0,75.0,76.0,68.0,70.0,68.0,68.0,71.0,73.0,70.0,71.0,64.0,64.0,61.0,64.0,64.0,65.0,66.0,66.0,,,,,,,,,93.47222222222223,89.85,83.15,71.84375
3.0,,658.0,0.018,0.958,1.205,-0.02,0.438,93.0,94.0,96.0,95.0,94.0,101.0,105.0,100.0,112.0,102.0,106.0,101.0,93.0,96.0,102.0,101.0,88.0,90.0,92.0,91.0,86.0,88.0,88.0,87.0,81.0,83.0,83.0,81.0,,,87.0,90.0,84.0,84.0,,,93.0,98.0,93.0,94.0,90.0,92.0,85.0,86.0,95.0,100.0,93.0,96.0,90.0,92.0,86.0,88.0,91.0,96.0,91.0,95.0,89.0,91.0,86.0,87.0,89.0,93.0,90.0,93.0,88.0,90.0,85.0,86.0,88.0,92.0,86.0,90.0,86.0,88.0,84.0,86.0,86.0,89.0,84.0,87.0,85.0,88.0,84.0,85.0,86.0,89.0,84.0,87.0,84.0,86.0,82.0,83.0,86.0,87.0,83.0,85.0,82.0,84.0,81.0,80.0,84.0,84.0,83.0,83.0,82.0,82.0,81.0,81.0,83.0,82.0,81.0,82.0,78.0,80.0,78.0,79.0,80.0,80.0,78.0,79.0,77.0,78.0,76.0,77.0,81.0,79.0,77.0,78.0,73.0,74.0,74.0,72.0,76.0,77.0,75.0,75.0,68.0,69.0,68.0,68.0,71.0,73.0,70.0,71.0,64.0,64.0,61.0,63.0,63.0,63.0,66.0,65.0,,,,,,,,,93.11111111111111,89.475,82.775,71.4375
4.0,,658.0,0.0184,0.979,1.222,-0.025,0.405,93.0,94.0,96.0,95.0,94.0,101.0,105.0,100.0,112.0,102.0,105.0,101.0,93.0,96.0,102.0,101.0,88.0,90.0,92.0,91.0,86.0,87.0,88.0,86.0,81.0,82.0,83.0,80.0,,,87.0,90.0,84.0,84.0,,,92.0,97.0,92.0,93.0,90.0,92.0,85.0,86.0,95.0,99.0,93.0,95.0,89.0,92.0,86.0,87.0,91.0,96.0,91.0,95.0,88.0,91.0,85.0,87.0,89.0,93.0,90.0,93.0,88.0,90.0,85.0,86.0,88.0,91.0,86.0,89.0,86.0,87.0,84.0,85.0,86.0,88.0,83.0,87.0,85.0,88.0,84.0,85.0,86.0,89.0,83.0,86.0,84.0,85.0,82.0,83.0,86.0,87.0,83.0,85.0,82.0,84.0,81.0,79.0,82.0,84.0,83.0,83.0,82.0,82.0,80.0,80.0,81.0,81.0,81.0,81.0,78.0,79.0,78.0,79.0,79.0,80.0,77.0,79.0,76.0,78.0,76.0,77.0,81.0,79.0,76.0,78.0,72.0,73.0,73.0,72.0,76.0,77.0,75.0,75.0,68.0,69.0,68.0,68.0,70.0,73.0,70.0,71.0,63.0,64.0,61.0,63.0,63.0,63.0,66.0,65.0,,,,,,,,,92.86111111111111,89.175,82.4,71.21875
5.0,,658.0,0.017,1.004,1.009,-0.025,0.425,93.0,94.0,95.0,94.0,93.0,100.0,104.0,100.0,112.0,102.0,105.0,101.0,93.0,96.0,101.0,100.0,88.0,89.0,91.0,90.0,86.0,87.0,87.0,86.0,81.0,82.0,83.0,80.0,,,87.0,89.0,83.0,83.0,,,92.0,97.0,92.0,93.0,89.0,91.0,85.0,85.0,94.0,98.0,92.0,95.0,88.0,91.0,86.0,87.0,91.0,95.0,91.0,95.0,88.0,91.0,85.0,87.0,89.0,92.0,89.0,92.0,88.0,89.0,85.0,86.0,87.0,90.0,86.0,89.0,86.0,87.0,84.0,85.0,85.0,88.0,83.0,86.0,84.0,87.0,83.0,85.0,86.0,89.0,83.0,86.0,84.0,85.0,82.0,83.0,85.0,87.0,83.0,85.0,82.0,84.0,81.0,79.0,82.0,84.0,82.0,83.0,80.0,81.0,80.0,80.0,80.0,80.0,81.0,81.0,78.0,79.0,77.0,79.0,78.0,79.0,77.0,78.0,76.0,78.0,76.0,76.0,79.0,79.0,76.0,77.0,72.0,73.0,73.0,72.0,75.0,77.0,74.0,75.0,67.0,69.0,67.0,67.0,70.0,73.0,70.0,71.0,63.0,64.0,61.0,63.0,64.0,63.0,65.0,65.0,,,,,,,,,92.47222222222223,88.75,82.05,70.9375
6.0,,658.0,0.0184,1.047,1.009,-0.025,0.412,92.0,93.0,94.0,94.0,93.0,100.0,104.0,100.0,111.0,101.0,104.0,100.0,92.0,95.0,100.0,99.0,88.0,89.0,91.0,90.0,86.0,87.0,87.0,86.0,80.0,82.0,82.0,80.0,,,87.0,89.0,83.0,83.0,,,91.0,97.0,92.0,93.0,88.0,91.0,84.0,85.0,94.0,98.0,92.0,95.0,88.0,91.0,85.0,86.0,91.0,95.0,91.0,94.0,87.0,90.0,85.0,86.0,88.0,92.0,89.0,91.0,88.0,89.0,85.0,86.0,87.0,90.0,85.0,88.0,85.0,87.0,83.0,85.0,85.0,88.0,83.0,86.0,84.0,87.0,83.0,84.0,85.0,88.0,83.0,86.0,82.0,84.0,81.0,83.0,85.0,87.0,83.0,84.0,81.0,83.0,80.0,79.0,81.0,83.0,81.0,83.0,79.0,81.0,80.0,80.0,80.0,80.0,80.0,81.0,76.0,79.0,77.0,79.0,78.0,79.0,76.0,78.0,75.0,78.0,76.0,76.0,79.0,79.0,76.0,77.0,71.0,73.0,73.0,71.0,74.0,77.0,74.0,75.0,67.0,69.0,67.0,67.0,70.0,72.0,70.0,71.0,62.0,64.0,61.0,63.0,64.0,63.0,65.0,65.0,,,,,,,,,92.08333333333333,88.4,81.575,70.75
7.0,,658.0,0.02,1.043,0.956,-0.02,0.412,92.0,93.0,94.0,93.0,92.0,99.0,103.0,99.0,110.0,100.0,103.0,99.0,92.0,95.0,100.0,99.0,87.0,88.0,91.0,90.0,85.0,87.0,87.0,86.0,80.0,82.0,82.0,80.0,,,86.0,89.0,83.0,83.0,,,91.0,96.0,91.0,92.0,88.0,91.0,84.0,85.0,93.0,98.0,91.0,94.0,88.0,91.0,85.0,86.0,89.0,94.0,90.0,93.0,86.0,89.0,85.0,86.0,88.0,92.0,89.0,91.0,86.0,89.0,84.0,85.0,86.0,89.0,85.0,88.0,84.0,87.0,83.0,85.0,85.0,88.0,83.0,86.0,83.0,86.0,83.0,84.0,84.0,87.0,83.0,86.0,82.0,84.0,81.0,82.0,84.0,86.0,82.0,84.0,81.0,83.0,80.0,79.0,81.0,83.0,81.0,82.0,79.0,81.0,79.0,80.0,80.0,80.0,80.0,81.0,76.0,79.0,77.0,78.0,78.0,79.0,76.0,78.0,75.0,78.0,76.0,76.0,79.0,79.0,75.0,77.0,70.0,73.0,73.0,71.0,74.0,76.0,74.0,74.0,66.0,69.0,67.0,67.0,70.0,72.0,70.0,71.0,62.0,64.0,61.0,63.0,65.0,63.0,65.0,65.0,,,,,,,,,91.63888888888889,87.975,81.3,70.625
8.0,,658.0,0.0225,0.958,0.974,-0.025,0.432,91.0,92.0,93.0,93.0,90.0,99.0,103.0,99.0,110.0,100.0,103.0,99.0,91.0,94.0,99.0,98.0,86.0,88.0,90.0,90.0,85.0,86.0,86.0,85.0,80.0,81.0,81.0,79.0,,,85.0,89.0,83.0,83.0,,,90.0,96.0,91.0,92.0,87.0,90.0,84.0,84.0,91.0,98.0,91.0,94.0,87.0,90.0,85.0,86.0,88.0,94.0,90.0,93.0,86.0,89.0,84.0,85.0,87.0,91.0,88.0,91.0,85.0,89.0,84.0,85.0,86.0,89.0,85.0,88.0,83.0,86.0,82.0,84.0,83.0,87.0,82.0,85.0,81.0,86.0,83.0,84.0,84.0,87.0,82.0,85.0,81.0,84.0,81.0,82.0,83.0,86.0,82.0,84.0,79.0,83.0,80.0,78.0,80.0,83.0,81.0,82.0,79.0,81.0,79.0,80.0,79.0,80.0,80.0,80.0,75.0,79.0,76.0,78.0,78.0,79.0,76.0,78.0,74.0,77.0,75.0,75.0,78.0,78.0,75.0,77.0,70.0,73.0,73.0,71.0,74.0,76.0,73.0,74.0,65.0,69.0,67.0,67.0,70.0,72.0,69.0,70.0,62.0,64.0,60.0,63.0,65.0,63.0,64.0,65.0,,,,,,,,,91.11111111111111,87.4,80.95,70.25
9.0,,651.0,0.026,0.958,1.092,-0.02,0.478,91.0,92.0,93.0,93.0,90.0,98.0,102.0,98.0,109.0,99.0,103.0,99.0,89.0,93.0,98.0,98.0,86.0,88.0,90.0,89.0,84.0,86.0,86.0,85.0,80.0,81.0,81.0,79.0,,,85.0,88.0,82.0,82.0,,,89.0,96.0,90.0,91.0,87.0,90.0,84.0,84.0,91.0,97.0,90.0,93.0,86.0,90.0,85.0,86.0,88.0,93.0,89.0,93.0,85.0,89.0,84.0,85.0,87.0,91.0,88.0,91.0,85.0,88.0,84.0,85.0,85.0,89.0,84.0,87.0,82.0,85.0,82.0,84.0,83.0,87.0,81.0,85.0,81.0,86.0,82.0,84.0,83.0,87.0,81.0,85.0,81.0,84.0,81.0,82.0,83.0,86.0,81.0,83.0,78.0,82.0,79.0,78.0,80.0,83.0,81.0,82.0,78.0,80.0,79.0,79.0,79.0,79.0,79.0,80.0,74.0,78.0,76.0,78.0,77.0,78.0,76.0,77.0,73.0,77.0,75.0,75.0,78.0,78.0,75.0,76.0,69.0,72.0,72.0,71.0,74.0,76.0,73.0,74.0,65.0,69.0,67.0,67.0,70.0,72.0,69.0,70.0,62.0,64.0,61.0,63.0,65.0,63.0,65.0,64.0,,,,,,,,,90.63888888888889,87.05,80.5,70.125
