时间,烟气层,CO,透光,1D,0.5D,辐射3,1.5D,1-1,1-2,1-3,1-4,1-5,1-6,1-7,1-8,1-9,1-10,1-11,1-12,1-13,1-14,1-15,1-16,1-17,1-18,1-19,1-20,1-21,1-22,1-23,1-24,1-25,1-26,1-27,1-28,1-29,1-30,1-31,1-32,1-33,1-34,1-35,1-36,1-37,1-38,1-39,1-40,2-1,2-2,2-3,2-4,2-5,2-6,2-7,2-8,2-9,2-10,2-11,2-12,2-13,2-14,2-15,2-16,2-17,2-18,2-19,2-20,2-21,2-22,2-23,2-24,2-25,2-26,2-27,2-28,2-29,2-30,2-31,2-32,2-33,2-34,2-35,2-36,2-37,2-38,2-39,2-40,3-1,3-2,3-3,3-4,3-5,3-6,3-7,3-8,3-9,3-10,3-11,3-12,3-13,3-14,3-15,3-16,3-17,3-18,3-19,3-20,3-21,3-22,3-23,3-24,3-25,3-26,3-27,3-28,3-29,3-30,3-31,3-32,3-33,3-34,3-35,3-36,3-37,3-38,3-39,3-40,4-1,4-2,4-3,4-4,4-5,4-6,4-7,4-8,4-9,4-10,4-11,4-12,4-13,4-14,4-15,4-16,4-17,4-18,4-19,4-20,4-21,4-22,4-23,4-24,4-25,4-26,4-27,4-28,4-29,4-30,4-31,4-32,4-33,4-34,4-35,4-36,4-37,4-38,4-39,4-40,layer1_mean,layer2_mean,layer3_mean,layer4_mean
0.0,,649.0,0.0163,0.423,0.654,-0.025,0.358,71.0,72.0,73.0,72.0,74.0,79.0,81.0,79.0,79.0,79.0,76.0,76.0,72.0,74.0,77.0,76.0,68.0,67.0,70.0,68.0,66.0,67.0,66.0,65.0,62.0,62.0,63.0,61.0,,,66.0,68.0,65.0,64.0,,,70.0,75.0,70.0,69.0,67.0,70.0,66.0,66.0,74.0,77.0,72.0,72.0,68.0,70.0,66.0,66.0,70.0,72.0,70.0,72.0,68.0,69.0,66.0,66.0,69.0,70.0,68.0,70.0,67.0,68.0,65.0,65.0,68.0,69.0,65.0,67.0,66.0,66.0,64.0,64.0,64.0,66.0,63.0,65.0,65.0,66.0,64.0,65.0,66.0,67.0,64.0,66.0,65.0,65.0,63.0,64.0,65.0,66.0,64.0,65.0,64.0,64.0,63.0,61.0,65.0,65.0,64.0,64.0,62.0,61.0,62.0,61.0,64.0,63.0,62.0,62.0,61.0,60.0,60.0,61.0,62.0,62.0,59.0,60.0,60.0,59.0,58.0,59.0,62.0,63.0,60.0,60.0,56.0,56.0,56.0,56.0,59.0,60.0,58.0,58.0,52.0,54.0,52.0,53.0,54.0,57.0,55.0,55.0,47.0,50.0,48.0,49.0,51.0,52.0,48.0,49.0,,,,,,,,,70.61111111111111,67.9,63.3,55.1875
1.0,,645.0,0.017,0.406,0.879,-0.025,0.365,70.0,71.0,73.0,72.0,74.0,79.0,81.0,78.0,78.0,79.0,75.0,76.0,72.0,74.0,77.0,76.0,68.0,67.0,70.0,68.0,65.0,66.0,66.0,64.0,62.0,62.0,62.0,60.0,,,66.0,68.0,65.0,64.0,,,70.0,75.0,70.0,69.0,67.0,69.0,65.0,65.0,74.0,76.0,71.0,71.0,68.0,70.0,66.0,66.0,70.0,72.0,69.0,71.0,67.0,69.0,66.0,66.0,69.0,70.0,68.0,70.0,66.0,67.0,65.0,65.0,68.0,68.0,65.0,67.0,66.0,66.0,64.0,64.0,64.0,66.0,62.0,65.0,64.0,65.0,64.0,65.0,66.0,67.0,64.0,66.0,65.0,65.0,63.0,63.0,65.0,66.0,64.0,65.0,64.0,64.0,63.0,61.0,65.0,65.0,63.0,64.0,62.0,61.0,62.0,61.0,64.0,63.0,62.0,62.0,61.0,60.0,60.0,60.0,62.0,62.0,59.0,59.0,60.0,59.0,58.0,59.0,62.0,63.0,60.0,60.0,56.0,56.0,56.0,55.0,59.0,60.0,58.0,58.0,52.0,54.0,52.0,53.0,54.0,57.0,54.0,54.0,47.0,50.0,48.0,49.0,51.0,52.0,48.0,49.0,,,,,,,,,70.33333333333333,67.575,63.15,55.09375
2.0,,645.0,0.0151,0.397,0.725,-0.02,0.365,70.0,71.0,73.0,72.0,73.0,78.0,81.0,78.0,77.0,78.0,74.0,75.0,71.0,74.0,77.0,75.0,67.0,67.0,69.0,67.0,65.0,66.0,66.0,64.0,62.0,62.0,62.0,60.0,,,66.0,68.0,64.0,64.0,,,70.0,74.0,70.0,69.0,67.0,69.0,65.0,65.0,74.0,76.0,71.0,71.0,68.0,69.0,66.0,65.0,70.0,72.0,69.0,71.0,67.0,69.0,66.0,66.0,69.0,70.0,68.0,69.0,66.0,67.0,65.0,65.0,68.0,68.0,65.0,67.0,66.0,65.0,64.0,64.0,64.0,65.0,62.0,65.0,64.0,65.0,64.0,64.0,66.0,67.0,64.0,66.0,65.0,65.0,63.0,63.0,65.0,66.0,64.0,65.0,63.0,64.0,63.0,61.0,65.0,65.0,63.0,64.0,62.0,61.0,62.0,61.0,64.0,63.0,62.0,62.0,60.0,60.0,60.0,60.0,62.0,62.0,59.0,59.0,60.0,59.0,58.0,59.0,62.0,63.0,59.0,59.0,56.0,55.0,56.0,55.0,59.0,60.0,58.0,58.0,51.0,54.0,52.0,52.0,54.0,57.0,54.0,54.0,47.0,49.0,48.0,49.0,51.0,52.0,48.0,48.0,,,,,,,,,69.97222222222223,67.45,63.075,54.875
3.0,,645.0,0.0161,0.359,0.838,-0.025,0.425,70.0,71.0,73.0,71.0,73.0,78.0,80.0,78.0,77.0,78.0,74.0,75.0,71.0,73.0,76.0,75.0,67.0,67.0,69.0,67.0,65.0,66.0,66.0,64.0,61.0,62.0,62.0,60.0,,,66.0,68.0,64.0,64.0,,,70.0,74.0,70.0,69.0,67.0,69.0,65.0,65.0,73.0,76.0,71.0,71.0,68.0,69.0,66.0,65.0,70.0,71.0,69.0,71.0,67.0,69.0,66.0,66.0,69.0,70.0,68.0,69.0,66.0,67.0,65.0,65.0,67.0,68.0,64.0,67.0,66.0,65.0,64.0,64.0,64.0,65.0,62.0,64.0,64.0,65.0,64.0,64.0,66.0,67.0,63.0,66.0,65.0,65.0,63.0,63.0,65.0,66.0,63.0,64.0,63.0,63.0,63.0,61.0,65.0,65.0,63.0,64.0,61.0,61.0,61.0,61.0,64.0,63.0,62.0,62.0,60.0,60.0,60.0,60.0,62.0,62.0,59.0,59.0,59.0,58.0,58.0,59.0,62.0,63.0,59.0,59.0,56.0,55.0,56.0,55.0,59.0,60.0,57.0,58.0,51.0,54.0,52.0,52.0,54.0,57.0,54.0,54.0,47.0,49.0,47.0,49.0,51.0,52.0,48.0,48.0,,,,,,,,,69.83333333333333,67.325,62.925,54.75
4.0,,645.0,0.0156,0.414,0.838,-0.025,0.358,70.0,71.0,73.0,71.0,73.0,77.0,80.0,77.0,76.0,78.0,73.0,75.0,71.0,73.0,76.0,75.0,67.0,67.0,69.0,67.0,65.0,66.0,65.0,64.0,61.0,62.0,62.0,60.0,,,66.0,67.0,64.0,63.0,,,69.0,74.0,69.0,68.0,66.0,69.0,65.0,65.0,73.0,75.0,71.0,71.0,67.0,69.0,65.0,65.0,69.0,71.0,68.0,71.0,67.0,69.0,66.0,66.0,68.0,70.0,67.0,69.0,66.0,67.0,64.0,65.0,67.0,68.0,64.0,67.0,66.0,65.0,63.0,64.0,64.0,65.0,62.0,64.0,64.0,65.0,64.0,64.0,66.0,67.0,63.0,66.0,65.0,64.0,63.0,63.0,65.0,66.0,63.0,64.0,63.0,63.0,62.0,61.0,65.0,65.0,63.0,63.0,61.0,60.0,61.0,61.0,64.0,63.0,62.0,62.0,60.0,60.0,59.0,60.0,62.0,62.0,59.0,59.0,59.0,58.0,58.0,58.0,61.0,62.0,59.0,59.0,56.0,55.0,56.0,55.0,59.0,60.0,57.0,57.0,51.0,54.0,52.0,52.0,54.0,57.0,54.0,54.0,47.0,49.0,47.0,48.0,50.0,51.0,48.0,48.0,,,,,,,,,69.55555555555556,67.075,62.8,54.53125
5.0,,645.0,0.0167,0.385,0.838,-0.025,0.358,69.0,70.0,72.0,71.0,72.0,77.0,80.0,77.0,76.0,78.0,73.0,75.0,71.0,73.0,76.0,74.0,67.0,66.0,69.0,67.0,65.0,66.0,65.0,64.0,61.0,62.0,62.0,60.0,,,65.0,67.0,64.0,63.0,,,69.0,73.0,69.0,68.0,66.0,69.0,65.0,65.0,73.0,75.0,70.0,71.0,67.0,69.0,65.0,65.0,69.0,71.0,68.0,70.0,67.0,68.0,65.0,65.0,68.0,69.0,67.0,69.0,66.0,67.0,64.0,64.0,67.0,67.0,64.0,66.0,66.0,65.0,63.0,64.0,63.0,65.0,62.0,64.0,64.0,65.0,64.0,64.0,65.0,66.0,63.0,65.0,65.0,64.0,63.0,63.0,64.0,65.0,63.0,64.0,63.0,63.0,62.0,61.0,65.0,65.0,63.0,63.0,61.0,60.0,61.0,61.0,63.0,63.0,61.0,61.0,60.0,60.0,59.0,60.0,61.0,62.0,58.0,59.0,59.0,58.0,57.0,58.0,61.0,62.0,59.0,59.0,56.0,55.0,55.0,55.0,58.0,59.0,57.0,57.0,51.0,54.0,52.0,52.0,53.0,57.0,54.0,54.0,47.0,49.0,47.0,48.0,50.0,51.0,48.0,48.0,,,,,,,,,69.33333333333333,66.825,62.55,54.375
6.0,,645.0,0.0158,0.423,0.678,-0.025,0.391,69.0,70.0,72.0,71.0,72.0,77.0,80.0,77.0,76.0,77.0,73.0,75.0,70.0,73.0,76.0,74.0,67.0,66.0,69.0,67.0,64.0,65.0,65.0,64.0,61.0,62.0,62.0,60.0,,,65.0,67.0,64.0,63.0,,,68.0,73.0,69.0,68.0,66.0,68.0,64.0,64.0,73.0,75.0,70.0,71.0,67.0,69.0,65.0,65.0,69.0,70.0,68.0,70.0,67.0,68.0,65.0,65.0,68.0,69.0,67.0,68.0,65.0,66.0,64.0,64.0,67.0,67.0,64.0,66.0,65.0,65.0,63.0,63.0,63.0,64.0,62.0,64.0,63.0,65.0,64.0,64.0,65.0,66.0,63.0,65.0,65.0,64.0,62.0,62.0,64.0,65.0,63.0,64.0,63.0,63.0,62.0,61.0,64.0,65.0,62.0,63.0,61.0,60.0,61.0,61.0,63.0,63.0,61.0,61.0,60.0,59.0,59.0,59.0,61.0,61.0,58.0,59.0,59.0,58.0,57.0,58.0,61.0,62.0,58.0,59.0,55.0,55.0,55.0,54.0,58.0,59.0,57.0,57.0,51.0,54.0,51.0,52.0,53.0,56.0,53.0,53.0,47.0,49.0,47.0,48.0,50.0,51.0,48.0,48.0,,,,,,,,,69.19444444444444,66.575,62.35,54.15625
7.0,,645.0,0.0163,0.423,0.631,-0.025,0.298,69.0,70.0,72.0,71.0,72.0,76.0,79.0,76.0,75.0,77.0,73.0,74.0,70.0,72.0,75.0,74.0,66.0,66.0,69.0,67.0,64.0,65.0,65.0,63.0,61.0,61.0,62.0,59.0,,,65.0,67.0,64.0,63.0,,,68.0,73.0,69.0,68.0,66.0,68.0,64.0,64.0,72.0,74.0,70.0,70.0,67.0,68.0,65.0,64.0,69.0,70.0,68.0,70.0,66.0,68.0,65.0,65.0,68.0,69.0,67.0,68.0,65.0,66.0,64.0,64.0,67.0,67.0,64.0,66.0,65.0,64.0,63.0,63.0,63.0,64.0,61.0,63.0,63.0,64.0,63.0,63.0,65.0,66.0,63.0,65.0,65.0,64.0,62.0,62.0,64.0,65.0,63.0,64.0,62.0,63.0,62.0,60.0,64.0,65.0,62.0,63.0,61.0,60.0,61.0,60.0,63.0,62.0,61.0,61.0,60.0,59.0,59.0,59.0,61.0,61.0,58.0,58.0,59.0,58.0,57.0,58.0,60.0,62.0,58.0,59.0,55.0,55.0,55.0,54.0,58.0,59.0,56.0,56.0,51.0,54.0,51.0,52.0,53.0,56.0,53.0,53.0,47.0,49.0,47.0,48.0,50.0,51.0,48.0,48.0,,,,,,,,,68.88888888888889,66.35,62.15,54.0625
8.0,,645.0,0.0177,0.457,0.838,-0.025,0.358,69.0,70.0,72.0,71.0,72.0,76.0,79.0,76.0,75.0,76.0,72.0,74.0,70.0,72.0,75.0,74.0,66.0,66.0,68.0,66.0,64.0,65.0,65.0,63.0,61.0,61.0,62.0,59.0,,,65.0,67.0,63.0,63.0,,,68.0,72.0,68.0,68.0,66.0,68.0,64.0,64.0,72.0,74.0,70.0,70.0,67.0,68.0,65.0,64.0,68.0,70.0,68.0,70.0,66.0,68.0,65.0,65.0,68.0,69.0,67.0,68.0,65.0,66.0,63.0,64.0,66.0,67.0,63.0,66.0,65.0,64.0,63.0,63.0,63.0,64.0,61.0,63.0,63.0,64.0,63.0,63.0,65.0,66.0,63.0,65.0,64.0,64.0,62.0,62.0,64.0,65.0,63.0,64.0,62.0,63.0,62.0,60.0,64.0,64.0,62.0,63.0,61.0,60.0,61.0,60.0,63.0,62.0,61.0,61.0,60.0,59.0,58.0,59.0,61.0,61.0,57.0,58.0,59.0,58.0,57.0,58.0,60.0,62.0,58.0,58.0,55.0,55.0,54.0,54.0,58.0,59.0,56.0,56.0,51.0,53.0,51.0,51.0,53.0,56.0,53.0,53.0,47.0,49.0,47.0,48.0,50.0,51.0,48.0,48.0,,,,,,,,,68.69444444444444,66.25,62.05,53.9375
9.0,,645.0,0.0167,0.482,0.672,-0.02,0.358,69.0,70.0,71.0,70.0,71.0,76.0,78.0,75.0,74.0,76.0,72.0,74.0,70.0,72.0,74.0,73.0,66.0,66.0,68.0,66.0,64.0,65.0,64.0,63.0,61.0,61.0,61.0,59.0,,,65.0,66.0,63.0,62.0,,,68.0,72.0,68.0,67.0,66.0,68.0,64.0,64.0,72.0,74.0,69.0,70.0,66.0,68.0,64.0,64.0,68.0,70.0,68.0,70.0,66.0,67.0,64.0,65.0,67.0,68.0,67.0,68.0,65.0,66.0,63.0,64.0,66.0,67.0,63.0,66.0,65.0,64.0,62.0,63.0,63.0,64.0,61.0,63.0,63.0,64.0,63.0,63.0,65.0,66.0,62.0,65.0,64.0,63.0,61.0,62.0,64.0,65.0,62.0,63.0,62.0,63.0,61.0,60.0,64.0,64.0,62.0,63.0,61.0,60.0,60.0,60.0,63.0,62.0,61.0,61.0,60.0,59.0,58.0,59.0,60.0,61.0,57.0,58.0,58.0,58.0,56.0,57.0,60.0,61.0,58.0,58.0,55.0,55.0,54.0,54.0,57.0,59.0,56.0,56.0,51.0,53.0,51.0,51.0,53.0,56.0,53.0,53.0,46.0,49.0,47.0,48.0,50.0,51.0,49.0,48.0,,,,,,,,,68.33333333333333,66.05,61.85,53.78125
