experiment_id,file_name,category,task_category_zh,duration,event_time_sec,usable_for_warning,usable_for_evolution,track,evolution_role
3,3_clean.csv,complete_full,完整过程·预警主任务,279.0,70.0,True,True,evolution,full_process
40,40_clean.csv,post_fire_only,起火后至结束·演化/阶段/峰值衰减分析,980.0,20.0,False,True,evolution,post_fire
41,41_clean.csv,post_fire_only,起火后至结束·演化/阶段/峰值衰减分析,1052.0,20.0,False,True,evolution,post_fire
42,42_clean.csv,post_fire_only,起火后至结束·演化/阶段/峰值衰减分析,1020.0,20.0,False,True,evolution,post_fire
43,43_clean.csv,post_fire_only,起火后至结束·演化/阶段/峰值衰减分析,707.0,20.0,False,True,evolution,post_fire
44,44_clean.csv,post_fire_only,起火后至结束·演化/阶段/峰值衰减分析,877.0,20.0,False,True,evolution,post_fire
45,45_clean.csv,post_fire_only,起火后至结束·演化/阶段/峰值衰减分析,618.0,20.0,False,True,evolution,post_fire
46,46_clean.csv,post_fire_only,起火后至结束·演化/阶段/峰值衰减分析,1342.0,20.0,False,True,evolution,post_fire
47,47_clean.csv,post_fire_only,起火后至结束·演化/阶段/峰值衰减分析,1393.0,20.0,False,True,evolution,post_fire
48,48_clean.csv,post_fire_only,起火后至结束·演化/阶段/峰值衰减分析,1055.0,20.0,False,True,evolution,post_fire
49,49_clean.csv,post_fire_only,起火后至结束·演化/阶段/峰值衰减分析,1088.0,20.0,False,True,evolution,post_fire
4,4_clean.csv,complete_full,完整过程·预警主任务,362.0,95.0,True,True,evolution,full_process
50,50_clean.csv,post_fire_only,起火后至结束·演化/阶段/峰值衰减分析,1080.0,20.0,False,True,evolution,post_fire
51,51_clean.csv,post_fire_only,起火后至结束·演化/阶段/峰值衰减分析,847.0,20.0,False,True,evolution,post_fire
52,52_clean.csv,post_fire_only,起火后至结束·演化/阶段/峰值衰减分析,1033.0,20.0,False,True,evolution,post_fire
53,53_clean.csv,post_fire_only,起火后至结束·演化/阶段/峰值衰减分析,1135.0,20.0,False,True,evolution,post_fire
54,54_clean.csv,post_fire_only,起火后至结束·演化/阶段/峰值衰减分析,1219.0,20.0,False,True,evolution,post_fire
55,55_clean.csv,post_fire_only,起火后至结束·演化/阶段/峰值衰减分析,751.0,20.0,False,True,evolution,post_fire
57,57_clean.csv,post_fire_only,起火后至结束·演化/阶段/峰值衰减分析,722.0,20.0,False,True,evolution,post_fire
59,59_clean.csv,post_fire_only,起火后至结束·演化/阶段/峰值衰减分析,2014.0,20.0,False,True,evolution,post_fire
5,5_clean.csv,complete_full,完整过程·预警主任务,258.0,58.0,True,True,evolution,full_process
60,60_clean.csv,post_fire_only,起火后至结束·演化/阶段/峰值衰减分析,907.0,20.0,False,True,evolution,post_fire
61,61_clean.csv,post_fire_only,起火后至结束·演化/阶段/峰值衰减分析,928.0,20.0,False,True,evolution,post_fire
62,62_clean.csv,post_fire_only,起火后至结束·演化/阶段/峰值衰减分析,1027.0,20.0,False,True,evolution,post_fire
63,63_clean.csv,post_fire_only,起火后至结束·演化/阶段/峰值衰减分析,949.0,20.0,False,True,evolution,post_fire
6,6_clean.csv,complete_full,完整过程·预警主任务,235.0,77.0,True,True,evolution,full_process
7,7_clean.csv,complete_full,完整过程·预警主任务,351.0,90.0,True,True,evolution,full_process
8,8_clean.csv,complete_full,完整过程·预警主任务,182.0,62.0,True,True,evolution,full_process
9,9_clean.csv,complete_full,完整过程·预警主任务,209.0,91.0,True,True,evolution,full_process
10,fire_merged_1hz_reference.csv,reference_long,长时程参考（高质量完整样本，可与预警主任务池区分使用）,1672.0,304.0,True,True,evolution,full_process
