file_name,is_complete,has_pre_fire,has_heat,has_trans,has_co,duration,usable_for_warning,usable_for_evolution,category,task_category_zh,has_k,duplicate_short_slice_of_exp10,event_time_sec,error,experiment_id,track,primary_track,evolution_role
24-4_clean.csv,False,False,True,True,True,840.0,False,True,post_fire_only,起火后至结束·演化/阶段/峰值衰减分析,True,False,20.0,,24-4,evolution,,post_fire
24-5_clean.csv,False,False,True,True,True,912.0,False,True,post_fire_only,起火后至结束·演化/阶段/峰值衰减分析,True,False,20.0,,24-5,evolution,,post_fire
24-6_clean.csv,False,False,True,True,True,780.0,False,True,post_fire_only,起火后至结束·演化/阶段/峰值衰减分析,True,False,20.0,,24-6,evolution,,post_fire
24-7_clean.csv,False,False,True,True,True,824.0,False,True,post_fire_only,起火后至结束·演化/阶段/峰值衰减分析,True,False,20.0,,24-7,evolution,,post_fire
24-9_clean.csv,False,False,True,True,True,781.0,False,True,post_fire_only,起火后至结束·演化/阶段/峰值衰减分析,True,False,20.0,,24-9,evolution,,post_fire
24_clean.csv,False,False,True,True,True,581.0,False,True,post_fire_only,起火后至结束·演化/阶段/峰值衰减分析,True,False,20.0,,24,evolution,,post_fire
25_clean.csv,False,False,True,True,True,863.0,False,True,post_fire_only,起火后至结束·演化/阶段/峰值衰减分析,True,False,20.0,,25,evolution,,post_fire
26_clean.csv,False,False,True,True,True,595.0,False,True,post_fire_only,起火后至结束·演化/阶段/峰值衰减分析,True,False,20.0,,26,evolution,,post_fire
27_clean.csv,False,False,True,True,True,1003.0,False,True,post_fire_only,起火后至结束·演化/阶段/峰值衰减分析,True,False,20.0,,27,evolution,,post_fire
28_clean.csv,False,False,True,True,True,591.0,False,True,post_fire_only,起火后至结束·演化/阶段/峰值衰减分析,True,False,20.0,,28,evolution,,post_fire
29_clean.csv,False,False,True,True,True,837.0,False,True,post_fire_only,起火后至结束·演化/阶段/峰值衰减分析,True,False,20.0,,29,evolution,,post_fire
2_clean.csv,True,True,True,True,True,302.0,True,True,complete_full,完整过程·预警主任务,True,False,138.0,,2,evolution,,full_process
30_clean.csv,False,False,True,True,True,676.0,False,True,post_fire_only,起火后至结束·演化/阶段/峰值衰减分析,True,False,20.0,,30,evolution,,post_fire
31_clean.csv,False,False,True,True,True,914.0,False,True,post_fire_only,起火后至结束·演化/阶段/峰值衰减分析,True,False,20.0,,31,evolution,,post_fire
35_clean.csv,False,False,True,True,True,810.0,False,True,post_fire_only,起火后至结束·演化/阶段/峰值衰减分析,True,False,20.0,,35,evolution,,post_fire
36_clean.csv,False,False,True,True,True,974.0,False,True,post_fire_only,起火后至结束·演化/阶段/峰值衰减分析,True,False,20.0,,36,evolution,,post_fire
37_clean.csv,False,False,True,True,True,1355.0,False,True,post_fire_only,起火后至结束·演化/阶段/峰值衰减分析,True,False,20.0,,37,evolution,,post_fire
38_clean.csv,False,False,True,True,True,1728.0,False,True,post_fire_only,起火后至结束·演化/阶段/峰值衰减分析,True,False,20.0,,38,evolution,,post_fire
39_clean.csv,False,False,True,True,True,1255.0,False,True,post_fire_only,起火后至结束·演化/阶段/峰值衰减分析,True,False,20.0,,39,evolution,,post_fire
3_clean.csv,True,True,True,True,True,279.0,True,True,complete_full,完整过程·预警主任务,True,False,70.0,,3,evolution,,full_process
40_clean.csv,False,False,True,True,True,980.0,False,True,post_fire_only,起火后至结束·演化/阶段/峰值衰减分析,True,False,20.0,,40,evolution,,post_fire
